ID,Study ID,Reference,Grouping,Victim,Perpetrator,Route Victim,Route Perpetrator,Mechanism,Compartment,AUCR Avg,AUCR AvgType,AUCR Var,AUCR VarType,CmaxR Avg,CmaxR AvgType,CmaxR Var,CmaxR VarType,t_placebo_0,t_placebo_end,t_treatment_0,t_treatment_end,t Unit,R Dose correction factor,Comment,Dose,Dose free API,Dose Unit,Route,Times of Administration,Times Unit,Description,Comment Regimen,Administered form,Formulation type,Infusion duration [min],Water volume ingested for drug intake [mL],Comment on administration/formulation,Fasted/Fed state,Duration of fasting before drug administration [h],Duration of fasting after drug administration [h],Comment on food intake
900001,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-CLO_AS0_vs_AS2,(E)-clomiphene,,PO,,CYP2D6 activity score,Plasma,10.230,,,,4.117,,,,0,72.000,0,72.000,h,1,DGI ratio AS0 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900002,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-CLO_AS0.5_vs_AS2,(E)-clomiphene,,PO,,CYP2D6 activity score,Plasma,4.248,,,,2.486,,,,0,72.000,0,72.000,h,1,DGI ratio AS0.5 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900003,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-CLO_AS0.75_vs_AS2,(E)-clomiphene,,PO,,CYP2D6 activity score,Plasma,1.246,,,,0.921,,,,0,72.000,0,72.000,h,1,DGI ratio AS0.75 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900004,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-CLO_AS1_vs_AS2,(E)-clomiphene,,PO,,CYP2D6 activity score,Plasma,1.110,,,,0.789,,,,0,72.000,0,72.000,h,1,DGI ratio AS1 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900005,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-CLO_AS3_vs_AS2,(E)-clomiphene,,PO,,CYP2D6 activity score,Plasma,0.805,,,,0.714,,,,0,72.000,0,72.000,h,1,DGI ratio AS3 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900006,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-OHC_AS0_vs_AS2,(E)-4-hydroxyclomiphene,,PO,,CYP2D6 activity score,Plasma,0.398,,,,0.078,,,,0,168.000,0,168.000,h,1,DGI ratio AS0 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900007,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-OHC_AS0.5_vs_AS2,(E)-4-hydroxyclomiphene,,PO,,CYP2D6 activity score,Plasma,2.285,,,,0.922,,,,0,168.000,0,168.000,h,1,DGI ratio AS0.5 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900008,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-OHC_AS0.75_vs_AS2,(E)-4-hydroxyclomiphene,,PO,,CYP2D6 activity score,Plasma,1.098,,,,0.848,,,,0,168.000,0,168.000,h,1,DGI ratio AS0.75 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900009,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-OHC_AS1_vs_AS2,(E)-4-hydroxyclomiphene,,PO,,CYP2D6 activity score,Plasma,0.997,,,,0.591,,,,0,168.000,0,168.000,h,1,DGI ratio AS1 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900010,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-OHC_AS3_vs_AS2,(E)-4-hydroxyclomiphene,,PO,,CYP2D6 activity score,Plasma,0.424,,,,0.589,,,,0,168.000,0,168.000,h,1,DGI ratio AS3 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900011,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-NDC_AS0_vs_AS2,(E)-N-desethylclomiphene,,PO,,CYP2D6 activity score,Plasma,25.840,,,,6.071,,,,0,72.000,0,72.000,h,1,DGI ratio AS0 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900012,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-NDC_AS0.5_vs_AS2,(E)-N-desethylclomiphene,,PO,,CYP2D6 activity score,Plasma,6.437,,,,3.299,,,,0,72.000,0,72.000,h,1,DGI ratio AS0.5 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900013,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-NDC_AS0.75_vs_AS2,(E)-N-desethylclomiphene,,PO,,CYP2D6 activity score,Plasma,1.503,,,,1.419,,,,0,72.000,0,72.000,h,1,DGI ratio AS0.75 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900014,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-NDC_AS1_vs_AS2,(E)-N-desethylclomiphene,,PO,,CYP2D6 activity score,Plasma,1.171,,,,0.574,,,,0,72.000,0,72.000,h,1,DGI ratio AS1 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900015,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-NDC_AS3_vs_AS2,(E)-N-desethylclomiphene,,PO,,CYP2D6 activity score,Plasma,0.399,,,,0.428,,,,0,72.000,0,72.000,h,1,DGI ratio AS3 vs AS2 derived from parent observed concentration-time profiles using the common 72.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900016,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-HDC_AS0_vs_AS2,(E)-4-hydroxy-N-desethylclomiphene,,PO,,CYP2D6 activity score,Plasma,0.286,,,,0.058,,,,0,168.000,0,168.000,h,1,DGI ratio AS0 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900017,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-HDC_AS0.5_vs_AS2,(E)-4-hydroxy-N-desethylclomiphene,,PO,,CYP2D6 activity score,Plasma,2.748,,,,1.019,,,,0,168.000,0,168.000,h,1,DGI ratio AS0.5 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900018,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-HDC_AS0.75_vs_AS2,(E)-4-hydroxy-N-desethylclomiphene,,PO,,CYP2D6 activity score,Plasma,1.159,,,,1.070,,,,0,168.000,0,168.000,h,1,DGI ratio AS0.75 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900019,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-HDC_AS1_vs_AS2,(E)-4-hydroxy-N-desethylclomiphene,,PO,,CYP2D6 activity score,Plasma,0.837,,,,0.657,,,,0,168.000,0,168.000,h,1,DGI ratio AS1 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900020,Kovar 2022,https://doi.org/10.3390/pharmaceutics14122604,DGI-CLO-HDC_AS3_vs_AS2,(E)-4-hydroxy-N-desethylclomiphene,,PO,,CYP2D6 activity score,Plasma,0.372,,,,0.563,,,,0,168.000,0,168.000,h,1,DGI ratio AS3 vs AS2 derived from parent observed concentration-time profiles using the common 168.000 h integration window.,42,,mg,PO,0,h,,,,,,,,,,,
900021,Byeon 2015,,DGI-ATO-Byeon_AS0.5_vs_AS2,Atomoxetine,,PO,,CYP2D6 activity score,Plasma,2.643,,,,1.744,,,,0,11.973,0,11.973,h,1,DGI ratio AS0.5 vs AS2 derived from parent observed concentration-time profiles using the common 11.973 h integration window.,40,,mg,PO,0,h,,,,,,,,,,,
900022,Byeon 2015,,DGI-ATO-Byeon_AS1.25_vs_AS2,Atomoxetine,,PO,,CYP2D6 activity score,Plasma,1.360,,,,1.148,,,,0,11.955,0,11.955,h,1,DGI ratio AS1.25 vs AS2 derived from parent observed concentration-time profiles using the common 11.955 h integration window.,40,,mg,PO,0,h,,,,,,,,,,,
900023,Kim 2018,,DGI-ATO-Kim_AS0.5_vs_AS2,Atomoxetine,,PO,,CYP2D6 activity score,Plasma,2.769,,,,1.613,,,,0,11.963,0,11.963,h,1,DGI ratio AS0.5 vs AS2 derived from parent observed concentration-time profiles using the common 11.963 h integration window.,20,,mg,PO,0,h,,,,,,,,,,,
900024,Novalbos 2010,https://doi.org/10.1097/JCP.0b013e3181ee84c7,DGI-RIS-Novalbos_AS0_vs_AS2,Risperidone,,PO,,CYP2D6 activity score,Plasma,5.671,,,,1.813,,,,0,24.009,0,24.009,h,1,DGI ratio AS0 vs AS2 derived from parent observed concentration-time profiles using the common 24.009 h integration window.,1,,mg,PO,0,h,,,,,,,,,,,
900025,Novalbos 2010,https://doi.org/10.1097/JCP.0b013e3181ee84c7,DGI-RIS-Novalbos_AS1_vs_AS2,Risperidone,,PO,,CYP2D6 activity score,Plasma,2.663,,,,1.437,,,,0,23.988,0,23.988,h,1,DGI ratio AS1 vs AS2 derived from parent observed concentration-time profiles using the common 23.988 h integration window.,1,,mg,PO,0,h,,,,,,,,,,,
900026,Novalbos 2010,https://doi.org/10.1097/JCP.0b013e3181ee84c7,DGI-RIS-Novalbos_AS3_vs_AS2,Risperidone,,PO,,CYP2D6 activity score,Plasma,0.687,,,,0.684,,,,0,11.965,0,11.965,h,1,DGI ratio AS3 vs AS2 derived from parent observed concentration-time profiles using the common 11.965 h integration window.,1,,mg,PO,0,h,,,,,,,,,,,
900027,Novalbos 2010,https://doi.org/10.1097/JCP.0b013e3181ee84c7,DGI-OHR-Novalbos_AS0_vs_AS2,9-Hydroxyrisperidone,,PO,,CYP2D6 activity score,Plasma,0.262,,,,0.155,,,,0,48.000,0,48.000,h,1,DGI ratio AS0 vs AS2 derived from parent observed concentration-time profiles using the common 48.000 h integration window.,1,,mg,PO,0,h,,,,,,,,,,,
900028,Novalbos 2010,https://doi.org/10.1097/JCP.0b013e3181ee84c7,DGI-OHR-Novalbos_AS1_vs_AS2,9-Hydroxyrisperidone,,PO,,CYP2D6 activity score,Plasma,0.914,,,,0.785,,,,0,48.000,0,48.000,h,1,DGI ratio AS1 vs AS2 derived from parent observed concentration-time profiles using the common 48.000 h integration window.,1,,mg,PO,0,h,,,,,,,,,,,
